hour,mean,std
0,142.787,409.775
1,197.855,519.589
2,277.725,658.672
3,227.764,505.462
4,304.848,533.624
5,295.472,536.15
17,-33.503,10.945
18,-74.586,16.335
19,648.291,2306.953
20,0.587,321.373
21,-6.088,150.564
22,56.493,295.193
23,31.26,188.608
