hour,mean,count,success_rate
0,0.249,2891,24.9
1,0.225,3039,22.5
2,0.271,2675,27.1
3,0.284,2370,28.4
4,0.414,2075,41.4
5,0.542,225,54.2
17,0.03,33,3.0
18,0.177,990,17.7
19,0.214,3660,21.4
20,0.199,4251,19.900000000000002
21,0.204,4062,20.4
22,0.22,3654,22.0
23,0.215,3480,21.5
