token,mean,std,count
Fork Chain,1371.686,1769.227,5256
Louber Gronger,-30.91,43.814,998
Anal Intelligence,-39.171,22.914,2554
Cabal,-43.254,26.324,2907
This will bait the retail,-48.73,23.705,2674
Chin,-52.894,25.226,5614
Goonpocalypse,-59.24,22.141,3464
Gake,-73.525,11.363,5062
a retarded token,-74.18,16.844,4876
